22 17072483 {'mHuman': [0.1295926517571885, 0.8704073482428115, 0.0], 'Pan': [1.0, 0.0, 0.0], 'Pongo': [1.0, 0.0, 0.0], 'Gorilla': [1.0, 0.0, 0.0]} missing in ep tbl
22 36007075 {'mHuman': [0.46904952076677314, 0.5309504792332268, 0.0], 'Pan': [1.0, 0.0, 0.0], 'Pongo': [1.0, 0.0, 0.0], 'Gorilla': [1.0, 0.0, 0.0]} missing in ep tbl
22 36058076 {'mHuman': [0.012779552715654952, 0.987220447284345, 0.0], 'Pan': [1.0, 0.0, 0.0], 'Pongo': [1.0, 0.0, 0.0], 'Gorilla': [1.0, 0.0, 0.0]} missing in isoform tbl
22 36585242 {'mHuman': [0.3284744408945687, 0.6715255591054313, 0.0], 'Pan': [1.0, 0.0, 0.0], 'Pongo': [1.0, 0.0, 0.0], 'Gorilla': [1.0, 0.0, 0.0]} missing in isoform tbl
22 36585526 {'mHuman': [0.3624201277955272, 0.6375798722044729, 0.0], 'Pan': [1.0, 0.0, 0.0], 'Pongo': [1.0, 0.0, 0.0], 'Gorilla': [1.0, 0.0, 0.0]} missing in isoform tbl
22 36585564 {'mHuman': [0.36261980830670926, 0.6373801916932907, 0.0], 'Pan': [1.0, 0.0, 0.0], 'Pongo': [1.0, 0.0, 0.0], 'Gorilla': [1.0, 0.0, 0.0]} missing in isoform tbl
22 36585609 {'mHuman': [0.32048722044728434, 0.6795127795527156, 0.0], 'Pan': [1.0, 0.0, 0.0], 'Pongo': [1.0, 0.0, 0.0], 'Gorilla': [1.0, 0.0, 0.0]} missing in isoform tbl
22 36585627 {'mHuman': [0.3286741214057508, 0.6713258785942492, 0.0], 'Pan': [1.0, 0.0, 0.0], 'Pongo': [1.0, 0.0, 0.0], 'Gorilla': [1.0, 0.0, 0.0]} missing in isoform tbl
22 36585721 {'mHuman': [0.3616214057507987, 0.6383785942492013, 0.0], 'Pan': [1.0, 0.0, 0.0], 'Pongo': [1.0, 0.0, 0.0], 'Gorilla': [1.0, 0.0, 0.0]} missing in isoform tbl
22 36585858 {'mHuman': [0.36261980830670926, 0.6373801916932907, 0.0], 'Pan': [1.0, 0.0, 0.0], 'Pongo': [1.0, 0.0, 0.0], 'Gorilla': [1.0, 0.0, 0.0]} missing in isoform tbl
22 36586178 {'mHuman': [0.36182108626198084, 0.6381789137380192, 0.0], 'Pan': [1.0, 0.0, 0.0], 'Pongo': [1.0, 0.0, 0.0], 'Gorilla': [1.0, 0.0, 0.0]} missing in isoform tbl
22 36586204 {'mHuman': [0.33426517571884984, 0.6657348242811502, 0.0], 'Pan': [1.0, 0.0, 0.0], 'Pongo': [1.0, 0.0, 0.0], 'Gorilla': [1.0, 0.0, 0.0]} missing in isoform tbl
22 36586335 {'mHuman': [0.35283546325878595, 0.6471645367412141, 0.0], 'Pan': [1.0, 0.0, 0.0], 'Pongo': [1.0, 0.0, 0.0], 'Gorilla': [1.0, 0.0, 0.0]} missing in isoform tbl
22 36586348 {'mHuman': [0.09704472843450479, 0.9029552715654952, 0.0], 'Pan': [1.0, 0.0, 0.0], 'Pongo': [1.0, 0.0, 0.0], 'Gorilla': [1.0, 0.0, 0.0]} missing in isoform tbl
22 36586389 {'mHuman': [0.35283546325878595, 0.6471645367412141, 0.0], 'Pan': [1.0, 0.0, 0.0], 'Pongo': [1.0, 0.0, 0.0], 'Gorilla': [1.0, 0.0, 0.0]} missing in isoform tbl
22 36586499 {'mHuman': [0.35283546325878595, 0.6471645367412141, 0.0], 'Pan': [1.0, 0.0, 0.0], 'Pongo': [1.0, 0.0, 0.0], 'Gorilla': [1.0, 0.0, 0.0]} missing in isoform tbl
22 36586693 {'mHuman': [0.33626198083067094, 0.6637380191693291, 0.0], 'Pan': [1.0, 0.0, 0.0], 'Pongo': [1.0, 0.0, 0.0], 'Gorilla': [1.0, 0.0, 0.0]} missing in isoform tbl
22 36586938 {'mHuman': [0.1064297124600639, 0.8935702875399361, 0.0], 'Pan': [1.0, 0.0, 0.0], 'Pongo': [1.0, 0.0, 0.0], 'Gorilla': [1.0, 0.0, 0.0]} missing in isoform tbl
22 36587202 {'mHuman': [0.35303514376996803, 0.646964856230032, 0.0], 'Pan': [1.0, 0.0, 0.0], 'Pongo': [1.0, 0.0, 0.0], 'Gorilla': [1.0, 0.0, 0.0]} missing in ep tbl
22 36587223 {'mHuman': [0.35283546325878595, 0.6471645367412141, 0.0], 'Pan': [1.0, 0.0, 0.0], 'Pongo': [1.0, 0.0, 0.0], 'Gorilla': [1.0, 0.0, 0.0]} missing in ep tbl
22 36587279 {'mHuman': [0.35303514376996803, 0.646964856230032, 0.0], 'Pan': [1.0, 0.0, 0.0], 'Pongo': [1.0, 0.0, 0.0], 'Gorilla': [1.0, 0.0, 0.0]} missing in ep tbl
22 36587486 {'mHuman': [0.3526357827476038, 0.6473642172523961, 0.0], 'Pan': [1.0, 0.0, 0.0], 'Pongo': [1.0, 0.0, 0.0], 'Gorilla': [1.0, 0.0, 0.0]} missing in ep tbl
22 36587511 {'mHuman': [0.34684504792332266, 0.6531549520766773, 0.0], 'Pan': [1.0, 0.0, 0.0], 'Pongo': [1.0, 0.0, 0.0], 'Gorilla': [1.0, 0.0, 0.0]} missing in ep tbl
22 36623148 {'mHuman': [0.48642172523961663, 0.5135782747603834, 0.0], 'Pan': [1.0, 0.0, 0.0], 'Pongo': [1.0, 0.0, 0.0], 'Gorilla': [1.0, 0.0, 0.0]} missing in isoform tbl
22 36623731 {'mHuman': [0.0, 1.0, 0.0], 'Pan': [1.0, 0.0, 0.0], 'Pongo': [1.0, 0.0, 0.0], 'Gorilla': [1.0, 0.0, 0.0]} missing in ep tbl
22 36661330 {'mHuman': [0.3218849840255591, 0.6781150159744409, 0.0], 'Pan': [1.0, 0.0, 0.0], 'Pongo': [1.0, 0.0, 0.0], 'Gorilla': [1.0, 0.0, 0.0]} missing in ep tbl
22 36661536 {'mHuman': [0.13578274760383385, 0.8642172523961661, 0.0], 'Pan': [1.0, 0.0, 0.0], 'Pongo': [1.0, 0.0, 0.0], 'Gorilla': [1.0, 0.0, 0.0]} missing in ep tbl
22 36661566 {'mHuman': [0.13578274760383385, 0.8642172523961661, 0.0], 'Pan': [1.0, 0.0, 0.0], 'Pongo': [1.0, 0.0, 0.0], 'Gorilla': [1.0, 0.0, 0.0]} missing in ep tbl
22 36662748 {'mHuman': [0.19109424920127796, 0.8089057507987221, 0.0], 'Pan': [1.0, 0.0, 0.0], 'Pongo': [1.0, 0.0, 0.0], 'Gorilla': [1.0, 0.0, 0.0]} missing in isoform tbl
22 36663248 {'mHuman': [0.1251996805111821, 0.8748003194888179, 0.0], 'Pan': [1.0, 0.0, 0.0], 'Pongo': [0.5, 0.5, 0.0], 'Gorilla': [1.0, 0.0, 0.0]} missing in isoform tbl
22 37098891 {'mHuman': [0.48761980830670926, 0.5123801916932907, 0.0], 'Pan': [1.0, 0.0, 0.0], 'Pongo': [1.0, 0.0, 0.0], 'Gorilla': [1.0, 0.0, 0.0]} missing in isoform tbl
22 37099538 {'mHuman': [0.46565495207667734, 0.5343450479233227, 0.0], 'Pan': [1.0, 0.0, 0.0], 'Pongo': [1.0, 0.0, 0.0], 'Gorilla': [1.0, 0.0, 0.0]} missing in isoform tbl
22 37196871 {'mHuman': [0.49241214057507987, 0.5075878594249201, 0.0], 'Pan': [1.0, 0.0, 0.0], 'Pongo': [1.0, 0.0, 0.0], 'Gorilla': [1.0, 0.0, 0.0]} missing in isoform tbl
22 37333794 {'mHuman': [0.19768370607028754, 0.8023162939297125, 0.0], 'Pan': [1.0, 0.0, 0.0], 'Pongo': [1.0, 0.0, 0.0], 'Gorilla': [1.0, 0.0, 0.0]} missing in ep tbl
22 37453452 {'mHuman': [0.1623402555910543, 0.8376597444089456, 0.0], 'Pan': [1.0, 0.0, 0.0], 'Pongo': [1.0, 0.0, 0.0], 'Gorilla': [1.0, 0.0, 0.0]} missing in ep tbl
22 37764567 {'mHuman': [0.2821485623003195, 0.7178514376996805, 0.0], 'Pan': [1.0, 0.0, 0.0], 'Pongo': [1.0, 0.0, 0.0], 'Gorilla': [1.0, 0.0, 0.0]} missing in isoform tbl
22 38122462 {'mHuman': [0.398961661341853, 0.6010383386581469, 0.0], 'Pan': [1.0, 0.0, 0.0], 'Pongo': [1.0, 0.0, 0.0], 'Gorilla': [1.0, 0.0, 0.0]} missing in ep tbl
22 38170026 {'mHuman': [0.45107827476038337, 0.5489217252396166, 0.0], 'Pan': [1.0, 0.0, 0.0], 'Pongo': [1.0, 0.0, 0.0], 'Gorilla': [1.0, 0.0, 0.0]} missing in isoform tbl
22 38202552 {'mHuman': [0.12779552715654952, 0.8722044728434505, 0.0], 'Pan': [1.0, 0.0, 0.0], 'Pongo': [1.0, 0.0, 0.0], 'Gorilla': [1.0, 0.0, 0.0]} missing in isoform tbl
22 38213102 {'mHuman': [0.22064696485623003, 0.77935303514377, 0.0], 'Pan': [1.0, 0.0, 0.0], 'Pongo': [1.0, 0.0, 0.0], 'Gorilla': [1.0, 0.0, 0.0]} missing in isoform tbl
22 38220964 {'mHuman': [0.21625399361022365, 0.7837460063897763, 0.0], 'Pan': [1.0, 0.0, 0.0], 'Pongo': [1.0, 0.0, 0.0], 'Gorilla': [1.0, 0.0, 0.0]} missing in ep tbl
22 38369027 {'mHuman': [0.391573482428115, 0.608426517571885, 0.0], 'Pan': [1.0, 0.0, 0.0], 'Pongo': [1.0, 0.0, 0.0], 'Gorilla': [1.0, 0.0, 0.0]} missing in isoform tbl
22 38369976 {'mHuman': [0.28674121405750796, 0.713258785942492, 0.0], 'Pan': [1.0, 0.0, 0.0], 'Pongo': [1.0, 0.0, 0.0], 'Gorilla': [1.0, 0.0, 0.0]} missing in ep tbl
22 38598234 {'mHuman': [0.419129392971246, 0.580870607028754, 0.0], 'Pan': [1.0, 0.0, 0.0], 'Pongo': [1.0, 0.0, 0.0], 'Gorilla': [1.0, 0.0, 0.0]} missing in isoform tbl
22 38612211 {'mHuman': [0.14337060702875398, 0.856629392971246, 0.0], 'Pan': [1.0, 0.0, 0.0], 'Pongo': [1.0, 0.0, 0.0], 'Gorilla': [1.0, 0.0, 0.0]} missing in isoform tbl
22 38615536 {'mHuman': [0.25758785942492013, 0.7424121405750799, 0.0], 'Pan': [1.0, 0.0, 0.0], 'Pongo': [1.0, 0.0, 0.0], 'Gorilla': [1.0, 0.0, 0.0]} missing in isoform tbl
22 38823136 {'mHuman': [0.19049520766773162, 0.8095047923322684, 0.0], 'Pan': [1.0, 0.0, 0.0], 'Pongo': [0.5, 0.4, 0.0], 'Gorilla': [1.0, 0.0, 0.0]} missing in ep tbl
22 38881703 {'mHuman': [0.3053115015974441, 0.6946884984025559, 0.0], 'Pan': [1.0, 0.0, 0.0], 'Pongo': [1.0, 0.0, 0.0], 'Gorilla': [1.0, 0.0, 0.0]} missing in isoform tbl
22 39096602 {'mHuman': [0.46166134185303515, 0.5383386581469649, 0.0], 'Pan': [1.0, 0.0, 0.0], 'Pongo': [1.0, 0.0, 0.0], 'Gorilla': [1.0, 0.0, 0.0]} missing in isoform tbl
22 39175267 {'mHuman': [0.24041533546325877, 0.7595846645367412, 0.0], 'Pan': [1.0, 0.0, 0.0], 'Pongo': [1.0, 0.0, 0.0], 'Gorilla': [1.0, 0.0, 0.0]} missing in isoform tbl
22 39260001 {'mHuman': [0.14177316293929712, 0.8582268370607029, 0.0], 'Pan': [1.0, 0.0, 0.0], 'Pongo': [0.5, 0.5, 0.0], 'Gorilla': [1.0, 0.0, 0.0]} missing in isoform tbl
22 39261135 {'mHuman': [0.12859424920127796, 0.8714057507987221, 0.0], 'Pan': [1.0, 0.0, 0.0], 'Pongo': [0.5, 0.4, 0.0], 'Gorilla': [1.0, 0.0, 0.0]} missing in isoform tbl
22 39382079 {'mHuman': [0.050319488817891375, 0.9496805111821086, 0.0], 'Pan': [1.0, 0.0, 0.0], 'Pongo': [1.0, 0.0, 0.0], 'Gorilla': [1.0, 0.0, 0.0]} missing in ep tbl
22 39429067 {'mHuman': [0.0033945686900958465, 0.9966054313099042, 0.0], 'Pan': [1.0, 0.0, 0.0], 'Pongo': [1.0, 0.0, 0.0], 'Gorilla': [1.0, 0.0, 0.0]} missing in isoform tbl
22 39429209 {'mHuman': [0.3955670926517572, 0.6044329073482428, 0.0], 'Pan': [1.0, 0.0, 0.0], 'Pongo': [1.0, 0.0, 0.0], 'Gorilla': [1.0, 0.0, 0.0]} missing in isoform tbl
22 39441203 {'mHuman': [0.40654952076677314, 0.5934504792332268, 0.0], 'Pan': [1.0, 0.0, 0.0], 'Pongo': [1.0, 0.0, 0.0], 'Gorilla': [1.0, 0.0, 0.0]} missing in ep tbl
22 39448711 {'mHuman': [0.48562300319488816, 0.5143769968051118, 0.0], 'Pan': [1.0, 0.0, 0.0], 'Pongo': [1.0, 0.0, 0.0], 'Gorilla': [1.0, 0.0, 0.0]} missing in isoform tbl
22 39449503 {'mHuman': [0.33206869009584666, 0.6679313099041534, 0.0], 'Pan': [1.0, 0.0, 0.0], 'Pongo': [1.0, 0.0, 0.0], 'Gorilla': [1.0, 0.0, 0.0]} missing in isoform tbl
22 39449655 {'mHuman': [0.4850239616613419, 0.5149760383386581, 0.0], 'Pan': [1.0, 0.0, 0.0], 'Pongo': [1.0, 0.0, 0.0], 'Gorilla': [1.0, 0.0, 0.0]} missing in isoform tbl
22 39498038 {'mHuman': [0.48442492012779553, 0.5155750798722045, 0.0], 'Pan': [1.0, 0.0, 0.0], 'Pongo': [1.0, 0.0, 0.0], 'Gorilla': [1.0, 0.0, 0.0]} missing in ep tbl
22 39499763 {'mHuman': [0.49380990415335463, 0.5061900958466453, 0.0], 'Pan': [1.0, 0.0, 0.0], 'Pongo': [1.0, 0.0, 0.0], 'Gorilla': [1.0, 0.0, 0.0]} missing in isoform tbl
22 39640703 {'mHuman': [0.3580271565495208, 0.6419728434504792, 0.0], 'Pan': [1.0, 0.0, 0.0], 'Pongo': [1.0, 0.0, 0.0], 'Gorilla': [1.0, 0.0, 0.0]} missing in isoform tbl
22 39778167 {'mHuman': [0.1393769968051118, 0.8606230031948882, 0.0], 'Pan': [1.0, 0.0, 0.0], 'Pongo': [1.0, 0.0, 0.0], 'Gorilla': [1.0, 0.0, 0.0]} missing in isoform tbl
22 39778419 {'mHuman': [0.2567891373801917, 0.7432108626198083, 0.0], 'Pan': [1.0, 0.0, 0.0], 'Pongo': [1.0, 0.0, 0.0], 'Gorilla': [1.0, 0.0, 0.0]} missing in isoform tbl
22 39779300 {'mHuman': [0.29053514376996803, 0.709464856230032, 0.0], 'Pan': [1.0, 0.0, 0.0], 'Pongo': [1.0, 0.0, 0.0], 'Gorilla': [1.0, 0.0, 0.0]} missing in isoform tbl
22 39781429 {'mHuman': [0.2799520766773163, 0.7200479233226837, 0.0], 'Pan': [1.0, 0.0, 0.0], 'Pongo': [1.0, 0.0, 0.0], 'Gorilla': [1.0, 0.0, 0.0]} missing in isoform tbl
22 39826788 {'mHuman': [0.19628594249201278, 0.8037140575079872, 0.0], 'Pan': [1.0, 0.0, 0.0], 'Pongo': [1.0, 0.0, 0.0], 'Gorilla': [1.0, 0.0, 0.0]} missing in isoform tbl
22 40058186 {'mHuman': [0.26317891373801916, 0.7368210862619808, 0.0], 'Pan': [1.0, 0.0, 0.0], 'Pongo': [1.0, 0.0, 0.0], 'Gorilla': [1.0, 0.0, 0.0]} missing in ep tbl
22 40427651 {'mHuman': [0.0, 1.0, 0.0], 'Pan': [1.0, 0.0, 0.0], 'Pongo': [0.5, 0.5, 0.0], 'Gorilla': [1.0, 0.0, 0.0]} missing in isoform tbl
22 40437457 {'mHuman': [1.0, 0.0, 0.0], 'Pan': [0.0, 1.0, 0.0], 'Pongo': [0.0, 1.0, 0.0], 'Gorilla': [0.11363636363636363, 0.8863636363636364, 0.0]} missing in isoform tbl
22 41753569 {'mHuman': [0.0, 1.0, 0.0], 'Pan': [1.0, 0.0, 0.0], 'Pongo': [1.0, 0.0, 0.0], 'Gorilla': [1.0, 0.0, 0.0]} missing in isoform tbl
22 41794101 {'mHuman': [1.0, 0.0, 0.0], 'Pan': [0.007142857142857143, 0.9928571428571429, 0.0], 'Pongo': [0.0, 1.0, 0.0], 'Gorilla': [0.3409090909090909, 0.6590909090909091, 0.0]} missing in isoform tbl
22 41829794 {'mHuman': [0.19548722044728434, 0.8045127795527156, 0.0], 'Pan': [1.0, 0.0, 0.0], 'Pongo': [1.0, 0.0, 0.0], 'Gorilla': [1.0, 0.0, 0.0]} missing in isoform tbl
22 41855912 {'mHuman': [0.25299520766773165, 0.7470047923322684, 0.0], 'Pan': [1.0, 0.0, 0.0], 'Pongo': [1.0, 0.0, 0.0], 'Gorilla': [1.0, 0.0, 0.0]} missing in isoform tbl
22 41855923 {'mHuman': [0.25299520766773165, 0.7470047923322684, 0.0], 'Pan': [1.0, 0.0, 0.0], 'Pongo': [1.0, 0.0, 0.0], 'Gorilla': [1.0, 0.0, 0.0]} missing in isoform tbl
22 41856137 {'mHuman': [0.2016773162939297, 0.7983226837060703, 0.0], 'Pan': [1.0, 0.0, 0.0], 'Pongo': [1.0, 0.0, 0.0], 'Gorilla': [1.0, 0.0, 0.0]} missing in isoform tbl
22 41940440 {'mHuman': [0.4764376996805112, 0.5235623003194888, 0.0], 'Pan': [1.0, 0.0, 0.0], 'Pongo': [1.0, 0.0, 0.0], 'Gorilla': [1.0, 0.0, 0.0]} missing in isoform tbl
22 42454354 {'mHuman': [0.35243610223642174, 0.6475638977635783, 0.0], 'Pan': [1.0, 0.0, 0.0], 'Pongo': [1.0, 0.0, 0.0], 'Gorilla': [1.0, 0.0, 0.0]} missing in isoform tbl
22 42470317 {'mHuman': [0.23682108626198084, 0.7631789137380192, 0.0], 'Pan': [1.0, 0.0, 0.0], 'Pongo': [1.0, 0.0, 0.0], 'Gorilla': [1.0, 0.0, 0.0]} missing in isoform tbl
22 42523943 {'mHuman': [0.3592252396166134, 0.6407747603833865, 0.0], 'Pan': [1.0, 0.0, 0.0], 'Pongo': [1.0, 0.0, 0.0], 'Gorilla': [1.0, 0.0, 0.0]} missing in ep tbl
22 42777621 {'mHuman': [0.4418929712460064, 0.5581070287539937, 0.0], 'Pan': [1.0, 0.0, 0.0], 'Pongo': [1.0, 0.0, 0.0], 'Gorilla': [1.0, 0.0, 0.0]} missing in isoform tbl
22 42777716 {'mHuman': [0.4464856230031949, 0.5535143769968051, 0.0], 'Pan': [1.0, 0.0, 0.0], 'Pongo': [1.0, 0.0, 0.0], 'Gorilla': [1.0, 0.0, 0.0]} missing in isoform tbl
22 42777935 {'mHuman': [0.4398961661341853, 0.5601038338658147, 0.0], 'Pan': [1.0, 0.0, 0.0], 'Pongo': [1.0, 0.0, 0.0], 'Gorilla': [1.0, 0.0, 0.0]} missing in isoform tbl
22 42778116 {'mHuman': [0.44009584664536744, 0.5599041533546326, 0.0], 'Pan': [1.0, 0.0, 0.0], 'Pongo': [1.0, 0.0, 0.0], 'Gorilla': [1.0, 0.0, 0.0]} missing in isoform tbl
22 42778210 {'mHuman': [0.48043130990415334, 0.5195686900958466, 0.0], 'Pan': [1.0, 0.0, 0.0], 'Pongo': [1.0, 0.0, 0.0], 'Gorilla': [1.0, 0.0, 0.0]} missing in isoform tbl
22 42905177 {'mHuman': [0.4788338658146965, 0.5211661341853036, 0.0], 'Pan': [1.0, 0.0, 0.0], 'Pongo': [1.0, 0.0, 0.0], 'Gorilla': [1.0, 0.0, 0.0]} missing in isoform tbl
22 42905495 {'mHuman': [0.3628194888178914, 0.6371805111821086, 0.0], 'Pan': [1.0, 0.0, 0.0], 'Pongo': [1.0, 0.0, 0.0], 'Gorilla': [1.0, 0.0, 0.0]} missing in isoform tbl
22 42906958 {'mHuman': [0.36142172523961663, 0.6385782747603834, 0.0], 'Pan': [1.0, 0.0, 0.0], 'Pongo': [1.0, 0.0, 0.0], 'Gorilla': [1.0, 0.0, 0.0]} missing in isoform tbl
22 42907182 {'mHuman': [0.34604632587859424, 0.6539536741214057, 0.0], 'Pan': [1.0, 0.0, 0.0], 'Pongo': [1.0, 0.0, 0.0], 'Gorilla': [1.0, 0.0, 0.0]} missing in isoform tbl
22 42970242 {'mHuman': [0.050119808306709264, 0.9498801916932907, 0.0], 'Pan': [1.0, 0.0, 0.0], 'Pongo': [1.0, 0.0, 0.0], 'Gorilla': [1.0, 0.0, 0.0]} missing in isoform tbl
22 42970263 {'mHuman': [0.41613418530351437, 0.5838658146964856, 0.0], 'Pan': [1.0, 0.0, 0.0], 'Pongo': [1.0, 0.0, 0.0], 'Gorilla': [1.0, 0.0, 0.0]} missing in isoform tbl
22 42981138 {'mHuman': [0.45427316293929715, 0.5457268370607029, 0.0], 'Pan': [1.0, 0.0, 0.0], 'Pongo': [1.0, 0.0, 0.0], 'Gorilla': [1.0, 0.0, 0.0]} missing in isoform tbl
22 42981167 {'mHuman': [0.4794329073482428, 0.5205670926517572, 0.0], 'Pan': [1.0, 0.0, 0.0], 'Pongo': [1.0, 0.0, 0.0], 'Gorilla': [1.0, 0.0, 0.0]} missing in isoform tbl
22 43089055 {'mHuman': [0.30471246006389774, 0.6952875399361023, 0.0], 'Pan': [1.0, 0.0, 0.0], 'Pongo': [1.0, 0.0, 0.0], 'Gorilla': [1.0, 0.0, 0.0]} missing in ep tbl
22 43485385 {'mHuman': [0.23981629392971246, 0.7601837060702875, 0.0], 'Pan': [1.0, 0.0, 0.0], 'Pongo': [1.0, 0.0, 0.0], 'Gorilla': [1.0, 0.0, 0.0]} missing in isoform tbl
22 43558926 {'mHuman': [0.17172523961661343, 0.8282747603833865, 0.0], 'Pan': [1.0, 0.0, 0.0], 'Pongo': [1.0, 0.0, 0.0], 'Gorilla': [1.0, 0.0, 0.0]} missing in ep tbl
22 43562705 {'mHuman': [0.41413738019169327, 0.5858626198083067, 0.0], 'Pan': [1.0, 0.0, 0.0], 'Pongo': [1.0, 0.0, 0.0], 'Gorilla': [1.0, 0.0, 0.0]} missing in isoform tbl
22 43595091 {'mHuman': [0.42032747603833864, 0.5796725239616614, 0.0], 'Pan': [1.0, 0.0, 0.0], 'Pongo': [1.0, 0.0, 0.0], 'Gorilla': [1.0, 0.0, 0.0]} missing in isoform tbl
22 43606143 {'mHuman': [0.3035143769968051, 0.6964856230031949, 0.0], 'Pan': [1.0, 0.0, 0.0], 'Pongo': [1.0, 0.0, 0.0], 'Gorilla': [1.0, 0.0, 0.0]} missing in ep tbl
22 44282276 {'mHuman': [0.4976038338658147, 0.5023961661341853, 0.0], 'Pan': [1.0, 0.0, 0.0], 'Pongo': [1.0, 0.0, 0.0], 'Gorilla': [1.0, 0.0, 0.0]} missing in ep tbl
22 44708655 {'mHuman': [0.13158945686900958, 0.8684105431309904, 0.0], 'Pan': [1.0, 0.0, 0.0], 'Pongo': [1.0, 0.0, 0.0], 'Gorilla': [1.0, 0.0, 0.0]} missing in isoform tbl
22 45258495 {'mHuman': [0.44049520766773165, 0.5595047923322684, 0.0], 'Pan': [1.0, 0.0, 0.0], 'Pongo': [1.0, 0.0, 0.0], 'Gorilla': [1.0, 0.0, 0.0]} missing in isoform tbl
22 45278187 {'mHuman': [0.36022364217252395, 0.639776357827476, 0.0], 'Pan': [1.0, 0.0, 0.0], 'Pongo': [1.0, 0.0, 0.0], 'Gorilla': [1.0, 0.0, 0.0]} missing in isoform tbl
22 45278499 {'mHuman': [0.3562300319488818, 0.6437699680511182, 0.0], 'Pan': [1.0, 0.0, 0.0], 'Pongo': [1.0, 0.0, 0.0], 'Gorilla': [1.0, 0.0, 0.0]} missing in isoform tbl
22 45278712 {'mHuman': [0.35543130990415334, 0.6445686900958466, 0.0], 'Pan': [1.0, 0.0, 0.0], 'Pongo': [1.0, 0.0, 0.0], 'Gorilla': [1.0, 0.0, 0.0]} missing in isoform tbl
22 45559908 {'mHuman': [0.3093051118210863, 0.6906948881789138, 0.0], 'Pan': [1.0, 0.0, 0.0], 'Pongo': [1.0, 0.0, 0.0], 'Gorilla': [1.0, 0.0, 0.0]} missing in isoform tbl
22 45559997 {'mHuman': [0.2799520766773163, 0.7200479233226837, 0.0], 'Pan': [1.0, 0.0, 0.0], 'Pongo': [1.0, 0.0, 0.0], 'Gorilla': [1.0, 0.0, 0.0]} missing in isoform tbl
22 45580899 {'mHuman': [0.1737220447284345, 0.8262779552715654, 0.0], 'Pan': [1.0, 0.0, 0.0], 'Pongo': [1.0, 0.0, 0.0], 'Gorilla': [1.0, 0.0, 0.0]} missing in isoform tbl
22 45581521 {'mHuman': [0.17272364217252395, 0.827276357827476, 0.0], 'Pan': [1.0, 0.0, 0.0], 'Pongo': [1.0, 0.0, 0.0], 'Gorilla': [1.0, 0.0, 0.0]} missing in isoform tbl
22 45583606 {'mHuman': [0.44988019169329074, 0.5501198083067093, 0.0], 'Pan': [1.0, 0.0, 0.0], 'Pongo': [1.0, 0.0, 0.0], 'Gorilla': [1.0, 0.0, 0.0]} missing in isoform tbl
22 45583898 {'mHuman': [0.17492012779552715, 0.8250798722044729, 0.0], 'Pan': [1.0, 0.0, 0.0], 'Pongo': [1.0, 0.0, 0.0], 'Gorilla': [1.0, 0.0, 0.0]} missing in isoform tbl
22 45588248 {'mHuman': [0.2945287539936102, 0.7054712460063898, 0.0], 'Pan': [1.0, 0.0, 0.0], 'Pongo': [1.0, 0.0, 0.0], 'Gorilla': [1.0, 0.0, 0.0]} missing in isoform tbl
22 45683246 {'mHuman': [0.45187699680511184, 0.5481230031948882, 0.0], 'Pan': [1.0, 0.0, 0.0], 'Pongo': [1.0, 0.0, 0.0], 'Gorilla': [1.0, 0.0, 0.0]} missing in ep tbl
22 45723842 {'mHuman': [0.46365814696485624, 0.5363418530351438, 0.0], 'Pan': [1.0, 0.0, 0.0], 'Pongo': [1.0, 0.0, 0.0], 'Gorilla': [1.0, 0.0, 0.0]} missing in ep tbl
22 45728370 {'mHuman': [0.4744408945686901, 0.5255591054313099, 0.0], 'Pan': [1.0, 0.0, 0.0], 'Pongo': [1.0, 0.0, 0.0], 'Gorilla': [1.0, 0.0, 0.0]} missing in ep tbl
22 45736434 {'mHuman': [0.4520766773162939, 0.547923322683706, 0.0], 'Pan': [1.0, 0.0, 0.0], 'Pongo': [1.0, 0.0, 0.0], 'Gorilla': [1.0, 0.0, 0.0]} missing in isoform tbl
22 45737310 {'mHuman': [0.4520766773162939, 0.547923322683706, 0.0], 'Pan': [1.0, 0.0, 0.0], 'Pongo': [1.0, 0.0, 0.0], 'Gorilla': [1.0, 0.0, 0.0]} missing in isoform tbl
22 45737481 {'mHuman': [0.4514776357827476, 0.5485223642172524, 0.0], 'Pan': [1.0, 0.0, 0.0], 'Pongo': [1.0, 0.0, 0.0], 'Gorilla': [0.9204545454545454, 0.07954545454545454, 0.0]} missing in isoform tbl
22 45740126 {'mHuman': [0.4520766773162939, 0.547923322683706, 0.0], 'Pan': [1.0, 0.0, 0.0], 'Pongo': [1.0, 0.0, 0.0], 'Gorilla': [1.0, 0.0, 0.0]} missing in isoform tbl
22 45782903 {'mHuman': [0.4335063897763578, 0.5664936102236422, 0.0], 'Pan': [1.0, 0.0, 0.0], 'Pongo': [1.0, 0.0, 0.0], 'Gorilla': [1.0, 0.0, 0.0]} missing in ep tbl
22 45809624 {'mHuman': [0.413538338658147, 0.5864616613418531, 0.0], 'Pan': [1.0, 0.0, 0.0], 'Pongo': [1.0, 0.0, 0.0], 'Gorilla': [1.0, 0.0, 0.0]} missing in isoform tbl
22 45821887 {'mHuman': [0.2943290734824281, 0.7056709265175719, 0.0], 'Pan': [1.0, 0.0, 0.0], 'Pongo': [1.0, 0.0, 0.0], 'Gorilla': [1.0, 0.0, 0.0]} missing in ep tbl
